selection_order,dataset,split,source_id,source_label,donor_id,target_label,source_text_hash,control_text_hash,changed_intent_bearing_concept,boundary_class,label_risk_stratum,eligibility,donor_reuse_count_after_selection
1,BANKING77,test,banking77:test:00920,getting_virtual_card,banking77:test:02400,getting_spare_card,38f3d70f6905732f3b7eb2b8664d1b5949ace19df6b085b9638c58e688bb77bf,2321e742b6d7c80963c2c61f2658f67c761a461ede5dd91bb76202ad5ea39eb9,official route changes from getting_virtual_card to getting_spare_card,NEAREST,published_label_level_proxy,ELIGIBLE,1
2,BANKING77,test,banking77:test:00000,card_arrival,banking77:test:00960,card_acceptance,57a5a4533e3e3cf2792c4d5b2efe5c003df50a3588a8505158a0f0c16da5313f,ff1bc16e453746f4a247199f1372b8f31e73a457f54b54d915e50ed62a9ffa4d,official route changes from card_arrival to card_acceptance,NEAREST,published_label_level_proxy,ELIGIBLE,1
3,BANKING77,test,banking77:test:00840,transfer_not_received_by_recipient,banking77:test:02680,balance_not_updated_after_bank_transfer,91e04f4c9ffe684e9e4316f0ae4045704aa5ce0638edcc312a334cf4a7a9d7c7,be6154657e0cf65db63dac6fd5b0bd1d6d177b5fd2e6eea543b7f0402db21b74,official route changes from transfer_not_received_by_recipient to balance_not_updated_after_bank_transfer,NEAREST,published_label_level_proxy,ELIGIBLE,1
4,BANKING77,test,banking77:test:00921,getting_virtual_card,banking77:test:02401,getting_spare_card,0ec2bdf5f18cf40dd8dbab183d9d610463eb08894bac4cc9f4c179e14ae51ff6,d676937bf397db6953327ba44ca0f863dfb0077dc2caf9d06bb6de1f49c2e770,official route changes from getting_virtual_card to getting_spare_card,NEAREST,published_label_level_proxy,ELIGIBLE,1
5,BANKING77,test,banking77:test:00001,card_arrival,banking77:test:00961,card_acceptance,81ccf0c11fdfd3275eb01f371abbf38920cbbad5851de604fd33cc3552c69cab,9574082dc9bf7a96abf48fb56b10ea56e94f52014dc61140161b4b178d258c89,official route changes from card_arrival to card_acceptance,NEAREST,published_label_level_proxy,ELIGIBLE,1
6,BANKING77,test,banking77:test:00841,transfer_not_received_by_recipient,banking77:test:02681,balance_not_updated_after_bank_transfer,35680eb9ff65e9445066a0b064abdf9bd4314d27a48e5e435ab547b7385e1590,2031edf3eb9a76d5b174b46205f54ae2c31d30d2ad6804f800d3d4515b8ee5ad,official route changes from transfer_not_received_by_recipient to balance_not_updated_after_bank_transfer,NEAREST,published_label_level_proxy,ELIGIBLE,1
7,BANKING77,test,banking77:test:02640,top_up_failed,banking77:test:00320,automatic_top_up,b2d90d7952cecff693e98a2d7d1429101af72c370bde0fec13cb36439ecd0799,d65e9b75c67d6a53ebd4457246ff3d57899174ff9ac1dad92758900efdce1656,official route changes from top_up_failed to automatic_top_up,NEAREST,published_label_level_proxy,ELIGIBLE,1
8,BANKING77,test,banking77:test:01000,top_up_reverted,banking77:test:00321,automatic_top_up,b96cd2de014007d01c1cf93f661d490b3af4d4cd2899235a1c178c26822cc4b3,70c319d68271307e7eabee9dd27cf8edb3108b07f84e4249540e3a2c97fb2736,official route changes from top_up_reverted to automatic_top_up,NEAREST,published_label_level_proxy,ELIGIBLE,1
9,BANKING77,test,banking77:test:01800,declined_card_payment,banking77:test:01600,pending_card_payment,0a62524666331d0890a27d90e1c6f818ad69243491828a745d92009f331c8c9e,d14e1129c9ad0d230422b72c5100f41be100ada4dbd6851a3e8f3707722a5677,official route changes from declined_card_payment to pending_card_payment,NEAREST,published_label_level_proxy,ELIGIBLE,1
10,BANKING77,test,banking77:test:00922,getting_virtual_card,banking77:test:02402,getting_spare_card,1ada5cc687434bc1703ff504361db8832f50a98b13fe8494d6d4a46abc384591,12784fb96b7871fbf89aecb1bba38f67b4dd081d7e84527579ad5189f850b40d,official route changes from getting_virtual_card to getting_spare_card,NEAREST,published_label_level_proxy,ELIGIBLE,1
11,BANKING77,test,banking77:test:00002,card_arrival,banking77:test:00962,card_acceptance,f3b7b46e7249c36b65cc5734dfcdf78d1446ee55aaf68600d8fd8b77a114565e,e181429bee296771e9c9f67cd56fe0f894ecfd3ac8a4f8824e9eea7097f43d06,official route changes from card_arrival to card_acceptance,NEAREST,published_label_level_proxy,ELIGIBLE,1
12,BANKING77,test,banking77:test:00842,transfer_not_received_by_recipient,banking77:test:02682,balance_not_updated_after_bank_transfer,d9b61c9ce58956bce25aaf1e1fac6ce3ae390a41bef29e71b8a00527106b7ce9,a7311a50449af7bdf43c7ddd6a1e33d5ca8116d5929a0c3b2ffc4b8c2c1ea5e4,official route changes from transfer_not_received_by_recipient to balance_not_updated_after_bank_transfer,NEAREST,published_label_level_proxy,ELIGIBLE,1
13,BANKING77,test,banking77:test:02680,balance_not_updated_after_bank_transfer,banking77:test:00840,transfer_not_received_by_recipient,be6154657e0cf65db63dac6fd5b0bd1d6d177b5fd2e6eea543b7f0402db21b74,91e04f4c9ffe684e9e4316f0ae4045704aa5ce0638edcc312a334cf4a7a9d7c7,official route changes from balance_not_updated_after_bank_transfer to transfer_not_received_by_recipient,NEAREST,published_label_level_proxy,ELIGIBLE,1
14,BANKING77,test,banking77:test:00640,pending_top_up,banking77:test:00322,automatic_top_up,3036249862a8ac9f71bfb74697d47e404177a5feab4e00740553d666098e2c17,d8544c832c3e19460cf0c908750bb44372f9214e493e765d095ce57380066449,official route changes from pending_top_up to automatic_top_up,NEAREST,published_label_level_proxy,ELIGIBLE,1
15,BANKING77,test,banking77:test:02642,top_up_failed,banking77:test:00323,automatic_top_up,5cb7fb02b174156b8a9d9f5524f90dd3ac025b63b510ac1f10a3c4dec355446a,1d96c9cead0c4152668dc4a1d2e8d133808aa8f9f23a3e6fb1f9528d2fe5d803,official route changes from top_up_failed to automatic_top_up,NEAREST,published_label_level_proxy,ELIGIBLE,1
16,BANKING77,test,banking77:test:01001,top_up_reverted,banking77:test:00324,automatic_top_up,f3cc1eff85469c0f23b1b083827059a11005b3551f45831c5768107bf1d256f3,78160599153f6d7394e0bed3df759348b838fc0f0927c70e1bfcba0a1bc757e6,official route changes from top_up_reverted to automatic_top_up,NEAREST,published_label_level_proxy,ELIGIBLE,1
17,BANKING77,test,banking77:test:01801,declined_card_payment,banking77:test:01601,pending_card_payment,8002ee606f36ad757b9269fedb62b84d40121553f9b8ef250287c0990ae4626d,e0f83c42b75aa588aaa66aa890e63a47a95cc8a2646a474e2b0a32da410ba751,official route changes from declined_card_payment to pending_card_payment,NEAREST,published_label_level_proxy,ELIGIBLE,1
