selection_order,dataset,source_id,source_split,source_label,donor_id,donor_split,target_label,source_text_hash,control_text_hash,scope_transition,eligibility,donor_reuse_count_after_selection
1,CLINC150,clinc150:test:00467,test,application_status,clinc150:oos_test:00134,oos_test,oos,5be213c804b68bc8001282bb332391ce98f923d56c0601d9089828caeb37c493,0b1ac3126ec016d54600826fabe4dc568535be6c56aa885981c4f456e8f6ac5f,IN_SCOPE_TO_OOS,ELIGIBLE,1
2,CLINC150,clinc150:test:00739,test,restaurant_reservation,clinc150:oos_test:00040,oos_test,oos,063b5fbd11ce41c046777987fd5b470460d5e0c1ad0d12b3621b587d9c78d861,2e2f62f1842004e45bb318e49a304276c6f6bb2b7e89455fd2b8e989e5a249a0,IN_SCOPE_TO_OOS,ELIGIBLE,1
3,CLINC150,clinc150:test:01698,test,calendar,clinc150:oos_test:00715,oos_test,oos,ac8fe463cfda174095c95076074485258f49a3f8fbb1ed07ccd00eb961fdf867,9d67f9c929b2c16ad71ff08abda655da69d631d5428ecd95f53895f516ef29d7,IN_SCOPE_TO_OOS,ELIGIBLE,1
4,CLINC150,clinc150:oos_test:00134,oos_test,oos,clinc150:test:00467,test,application_status,0b1ac3126ec016d54600826fabe4dc568535be6c56aa885981c4f456e8f6ac5f,5be213c804b68bc8001282bb332391ce98f923d56c0601d9089828caeb37c493,OOS_TO_IN_SCOPE,ELIGIBLE,1
5,CLINC150,clinc150:oos_test:00040,oos_test,oos,clinc150:test:00739,test,restaurant_reservation,2e2f62f1842004e45bb318e49a304276c6f6bb2b7e89455fd2b8e989e5a249a0,063b5fbd11ce41c046777987fd5b470460d5e0c1ad0d12b3621b587d9c78d861,OOS_TO_IN_SCOPE,ELIGIBLE,1
6,CLINC150,clinc150:test:01061,test,restaurant_suggestion,clinc150:oos_test:00581,oos_test,oos,f6d4cfb56e121501a4ae5b0673505e712f402cbdef5181f45acc56503897cbd7,03b874ef5ae8425bfde507e88b8a205f338e94a4082fc7bc4190fdff5a0251d1,IN_SCOPE_TO_OOS,ELIGIBLE,1
7,CLINC150,clinc150:test:03239,test,current_location,clinc150:oos_test:00207,oos_test,oos,9260e18665b55ec1322d4cc33ac30421d5a269831c9497a7d7dad16bda1887fc,4fa481c10bec6af7cfa465e91a489c38d391c4b69e3e97a449f442678cc5d8e3,IN_SCOPE_TO_OOS,ELIGIBLE,1
8,CLINC150,clinc150:test:00080,test,timer,clinc150:oos_test:00987,oos_test,oos,fe6deca75e01d4fc26179e5499ad66dd30ca733e5a60facd6bded0cc0ae6d1a5,239dbc2f5935487d81e7e7c46a2385363827fa6bf041c7d3fb26b62f4a0f65fa,IN_SCOPE_TO_OOS,ELIGIBLE,1
9,CLINC150,clinc150:oos_test:00715,oos_test,oos,clinc150:test:01698,test,calendar,9d67f9c929b2c16ad71ff08abda655da69d631d5428ecd95f53895f516ef29d7,ac8fe463cfda174095c95076074485258f49a3f8fbb1ed07ccd00eb961fdf867,OOS_TO_IN_SCOPE,ELIGIBLE,1
10,CLINC150,clinc150:oos_test:00581,oos_test,oos,clinc150:test:01061,test,restaurant_suggestion,03b874ef5ae8425bfde507e88b8a205f338e94a4082fc7bc4190fdff5a0251d1,f6d4cfb56e121501a4ae5b0673505e712f402cbdef5181f45acc56503897cbd7,OOS_TO_IN_SCOPE,ELIGIBLE,1
11,CLINC150,clinc150:test:04134,test,cancel_reservation,clinc150:oos_test:00561,oos_test,oos,36d1dd93336aa292b16b28ce201245a94321de5c2bd5590126e6b860a1bdf04e,2c33477c7da8d483b798d9c98952d79df8c759329ed5e5cc4ff6807bad264e7e,IN_SCOPE_TO_OOS,ELIGIBLE,1
12,CLINC150,clinc150:test:03360,test,cancel,clinc150:oos_test:00114,oos_test,oos,e13f686cf314076f5161848daf88859e3bc9e101b14aff648e70e34cf8f7e631,0c67adefd5eccf54e5a4ff9d54ba4ae60760f3b3f74d05c8576c95924a17c38a,IN_SCOPE_TO_OOS,ELIGIBLE,1
13,CLINC150,clinc150:test:00934,test,user_name,clinc150:oos_test:00161,oos_test,oos,ec3d6bd822c36a25da3665ffc706f4a8f6737e8224e5765b01bd7b416832a98c,0e72b1ccbac2fe5fb3cf933a8f093d0913d25403c218c859ac57c12a2b87b1aa,IN_SCOPE_TO_OOS,ELIGIBLE,1
14,CLINC150,clinc150:test:00760,test,balance,clinc150:oos_test:00704,oos_test,oos,a4836e2772f09fb6a86c3c2508669b47d8d22e17037a092ff575776bae56adb8,f9cfd015fa3ed6d84050302d7c5df65f58fc8b65619db43fb5aad4264b26f107,IN_SCOPE_TO_OOS,ELIGIBLE,1
15,CLINC150,clinc150:test:03478,test,pto_balance,clinc150:oos_test:00297,oos_test,oos,1e0b34255f9db1cbc41b70aed0aa41f40964d0aa7cf783ddc7580a639ffb718e,ca346d5f169078280f80a1f516d499c56d44e78d9cf675c762b85058bc36be3c,IN_SCOPE_TO_OOS,ELIGIBLE,1
16,CLINC150,clinc150:test:02098,test,reminder_update,clinc150:oos_test:00709,oos_test,oos,e1b3a8ffc2c218915805b4792e700060cfce13e9118e98ed78c85fc030d693b2,99105cfa547a3ab7df0af4ee568a88d4cb62727841c39f218c40abcac0ec695e,IN_SCOPE_TO_OOS,ELIGIBLE,1
17,CLINC150,clinc150:oos_test:00207,oos_test,oos,clinc150:test:03239,test,current_location,4fa481c10bec6af7cfa465e91a489c38d391c4b69e3e97a449f442678cc5d8e3,9260e18665b55ec1322d4cc33ac30421d5a269831c9497a7d7dad16bda1887fc,OOS_TO_IN_SCOPE,ELIGIBLE,1
18,CLINC150,clinc150:test:01946,test,sync_device,clinc150:oos_test:00400,oos_test,oos,b397d3f9d2eb705443f6f6a6994be9f752f56edfb39853a84106d9cd83994e75,1641d778001606564a7d4815a17909cc6add0236e54cd092cdc177a98c46d5fc,IN_SCOPE_TO_OOS,ELIGIBLE,1
19,CLINC150,clinc150:oos_test:00987,oos_test,oos,clinc150:test:00080,test,timer,239dbc2f5935487d81e7e7c46a2385363827fa6bf041c7d3fb26b62f4a0f65fa,fe6deca75e01d4fc26179e5499ad66dd30ca733e5a60facd6bded0cc0ae6d1a5,OOS_TO_IN_SCOPE,ELIGIBLE,1
20,CLINC150,clinc150:test:03134,test,measurement_conversion,clinc150:oos_test:00300,oos_test,oos,f9c43ea7d25e9d63b5cbe898b01a76605b0c4ea2fc62dcd788955ad05edab042,e2d4670705a28e869a041e1ea14eec7b7f2c41b196d3547ace0b68a2050ee3cd,IN_SCOPE_TO_OOS,ELIGIBLE,1
21,CLINC150,clinc150:test:03819,test,text,clinc150:oos_test:00039,oos_test,oos,36b6d267d9f9e07b47633128504d33e0ec88485aee10441f7e8614e369ba9a85,230cd868578235762f15ef85384524976ac8bebdc030fb72c67257efc1d1f79e,IN_SCOPE_TO_OOS,ELIGIBLE,1
22,CLINC150,clinc150:test:02824,test,order_status,clinc150:oos_test:00616,oos_test,oos,e471c6ca1c4eb2e3ae091a3950f6ce02cedc76df0b1d28f781dc12a5c674fc7e,d1c082a4c397277f7c945b124809b219553f3f40a211d04c88f7a00d17a85799,IN_SCOPE_TO_OOS,ELIGIBLE,1
23,CLINC150,clinc150:test:01271,test,lost_luggage,clinc150:oos_test:00281,oos_test,oos,79477e07f8611d4df80fdbf3104c306fa3e5fcbd22c3b9c55bdc6159db2d640f,d18a0187097bb4a31b784d570d0ba74816067dc3512a3a0a7e964ed21f999169,IN_SCOPE_TO_OOS,ELIGIBLE,1
24,CLINC150,clinc150:test:00923,test,distance,clinc150:oos_test:00444,oos_test,oos,63b7b4490f1a200212dce64229b0fda01b8f9fc72afded449b983be0ca4e1fee,66e682724bf5e18be1fa8a137a444f4f9bd4d4217edd741646c03eb47a4515b4,IN_SCOPE_TO_OOS,ELIGIBLE,1
25,CLINC150,clinc150:test:03435,test,vaccines,clinc150:oos_test:00190,oos_test,oos,e7dfa2d2bbae55282744fda9965cf64718142b464831d5e578656a31e7a94758,c795c0def26b9423d29b2e0eabb7a1a137dbaa6c0eabe5885102c9d3c22ed79b,IN_SCOPE_TO_OOS,ELIGIBLE,1
26,CLINC150,clinc150:test:03407,test,international_visa,clinc150:oos_test:00153,oos_test,oos,75ebd7c3aada006539496de72dd546803a7e9d57c181f10b1616b0517eabb576,f5f92f1374b9fe505427120e35d5eadea0cc31bde00ce4e006681f6e5739e824,IN_SCOPE_TO_OOS,ELIGIBLE,1
27,CLINC150,clinc150:test:00137,test,meaning_of_life,clinc150:oos_test:00518,oos_test,oos,278c52ea8eb8d43f440a69f17517128271141e06be89adc266eeda24dd68ed8e,547388e67950def189efc6c2b41f382f7f265e6600b7b6c3782f3dbd06bc6f5c,IN_SCOPE_TO_OOS,ELIGIBLE,1
28,CLINC150,clinc150:test:04200,test,how_old_are_you,clinc150:oos_test:00318,oos_test,oos,d88976855d538add20127a10bddb8c96239da52cbb25e8275fed14b71d1d3f9d,0fb21e8805b4bec7d37e95e11744cdd82c881aa421f7b03675a929eeee999879,IN_SCOPE_TO_OOS,ELIGIBLE,1
29,CLINC150,clinc150:oos_test:00561,oos_test,oos,clinc150:test:04134,test,cancel_reservation,2c33477c7da8d483b798d9c98952d79df8c759329ed5e5cc4ff6807bad264e7e,36d1dd93336aa292b16b28ce201245a94321de5c2bd5590126e6b860a1bdf04e,OOS_TO_IN_SCOPE,ELIGIBLE,1
30,CLINC150,clinc150:test:02652,test,next_holiday,clinc150:oos_test:00845,oos_test,oos,2221cbb7399132328122c246cc9469c12c2b537442d4acbf05906a4414497347,a081b534c2fc70900a0804a09e8b34f5499d907c6fede3223937d1f5db665b11,IN_SCOPE_TO_OOS,ELIGIBLE,1
31,CLINC150,clinc150:test:04141,test,tell_joke,clinc150:oos_test:00724,oos_test,oos,37a5b8dd84cbc904e4da9b6877d05117f269380157beb2f1d00cbe2e9f16ac13,c17bbe31b44be7a851fc7186c03f4ac9ea8ca0f622f4ed34d4dd7f573bbc0afc,IN_SCOPE_TO_OOS,ELIGIBLE,1
32,CLINC150,clinc150:test:01882,test,schedule_maintenance,clinc150:oos_test:00847,oos_test,oos,62f87935b2d9f65cbe9e4538d0babd3a1906f2e0f931898a20519ec0fa941c33,ff78e1a73edb22b358b23ec2ced882b14b9e5cc2785d5bae6e5f2e4c835f4e11,IN_SCOPE_TO_OOS,ELIGIBLE,1
33,CLINC150,clinc150:oos_test:00114,oos_test,oos,clinc150:test:03360,test,cancel,0c67adefd5eccf54e5a4ff9d54ba4ae60760f3b3f74d05c8576c95924a17c38a,e13f686cf314076f5161848daf88859e3bc9e101b14aff648e70e34cf8f7e631,OOS_TO_IN_SCOPE,ELIGIBLE,1
34,CLINC150,clinc150:test:04493,test,card_declined,clinc150:oos_test:00193,oos_test,oos,a6173f183ed8d20a96e6f47839bbd57b84624077d600b2fdfd1b01c23916ffc2,0d2104b6de453c0ab00d4bc4970f763783818f69dedb280840c311196bae0703,IN_SCOPE_TO_OOS,ELIGIBLE,1
35,CLINC150,clinc150:test:01460,test,insurance,clinc150:oos_test:00664,oos_test,oos,70c12f73473b0c07ee2a5b09d3f7b4b175a4ad7e947e6f70196e4171c90b9e84,6bc17c26e1b6c7d2518e43ebba8f344b0dfd24dd95ff58b869d6855f2819a9aa,IN_SCOPE_TO_OOS,ELIGIBLE,1
36,CLINC150,clinc150:oos_test:00161,oos_test,oos,clinc150:test:00934,test,user_name,0e72b1ccbac2fe5fb3cf933a8f093d0913d25403c218c859ac57c12a2b87b1aa,ec3d6bd822c36a25da3665ffc706f4a8f6737e8224e5765b01bd7b416832a98c,OOS_TO_IN_SCOPE,ELIGIBLE,1
37,CLINC150,clinc150:test:01553,test,change_speed,clinc150:oos_test:00386,oos_test,oos,4efcddfc89b90aaa6506b9172b06b703a836a0275f08eaed7f3573ba27d804b2,73b8d8f0c340e4c8c40c4785f57fbfc26b2193460851a4effb7569e51738dd74,IN_SCOPE_TO_OOS,ELIGIBLE,1
38,CLINC150,clinc150:test:02931,test,account_blocked,clinc150:oos_test:00159,oos_test,oos,584fe4d5d90476a8fb3c3fe74421b3c5fe8a895e7248a125fa9314d2a0542b3c,50e0a4a0885b7bd80463fa45f9b3eeff4211a1be5815f10461caa9044031dacd,IN_SCOPE_TO_OOS,ELIGIBLE,1
39,CLINC150,clinc150:test:02219,test,alarm,clinc150:oos_test:00608,oos_test,oos,bb533562da7dbfcbd3d18d2b4eb0b6d8c1695928c263774bc6572f860e8bd708,ceb465b4999927010a582195f688874d7b94492c1777f7ed4fb874e65c753416,IN_SCOPE_TO_OOS,ELIGIBLE,1
40,CLINC150,clinc150:test:01225,test,credit_score,clinc150:test:02754,test,credit_limit,0d609a7fd7aa94895b07b104f999980aaabd02cd48614ecbf8805d1c5ec4414f,70b7d291a9a329e083dca4df3159296922e92ab0206330812d23bfde31f74af2,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
41,CLINC150,clinc150:test:02544,test,gas_type,clinc150:test:02577,test,plug_type,dca9b138556abcd361e617917c6840062fd06a72896695470c0c3139cc92e14d,1f4a59ec531a96bf965a4ba48283d712b370b3319476b4f60d9304e3fc53d480,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
42,CLINC150,clinc150:test:03597,test,reset_settings,clinc150:test:03996,test,are_you_a_bot,33403d10bb5bb96d6a2f4ef4549e962efe39e7ee26ea0733f60e371efad60ce8,88eda4e194c0d086e4ab46c76cca1372a73d26b9e49f7c7a15f08718066e5681,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
43,CLINC150,clinc150:test:00023,test,translate,clinc150:test:03246,test,weather,03caa618ce38ac140a69b48f325f3c5bb6d4688a8d87745a4743aae25c872e0a,b59028ceb782d05286cd01903900a7f9918568962ff35d00024246fdc4789210,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
44,CLINC150,clinc150:test:02996,test,international_fees,clinc150:test:03407,test,international_visa,81939413b518b601db63c473764df934b100875ba683b44450bdf5b2926d3c39,75ebd7c3aada006539496de72dd546803a7e9d57c181f10b1616b0517eabb576,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
45,CLINC150,clinc150:test:00885,test,who_made_you,clinc150:test:01951,test,thank_you,3f0658ae93178644cb28c962a1c8f080d45d7363d81d998de4d09d4715a7cc16,f4163dd86d7787adbdcf3056f17ffbca1966fdc4218b507da0857aaf74e0ec3f,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
46,CLINC150,clinc150:test:01839,test,pto_used,clinc150:test:00264,test,pto_request,d780e04260be76ac69df7f459c25abba1517d0316d551eac0f4185c0466901b1,d514ff27db40e55bd0a5db311cd9343026d368fa3aa35c41f2301d3a7482bb7a,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
47,CLINC150,clinc150:test:02577,test,plug_type,clinc150:test:02544,test,gas_type,1f4a59ec531a96bf965a4ba48283d712b370b3319476b4f60d9304e3fc53d480,dca9b138556abcd361e617917c6840062fd06a72896695470c0c3139cc92e14d,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
48,CLINC150,clinc150:oos_test:00704,oos_test,oos,clinc150:test:00760,test,balance,f9cfd015fa3ed6d84050302d7c5df65f58fc8b65619db43fb5aad4264b26f107,a4836e2772f09fb6a86c3c2508669b47d8d22e17037a092ff575776bae56adb8,OOS_TO_IN_SCOPE,ELIGIBLE,1
49,CLINC150,clinc150:oos_test:00297,oos_test,oos,clinc150:test:03478,test,pto_balance,ca346d5f169078280f80a1f516d499c56d44e78d9cf675c762b85058bc36be3c,1e0b34255f9db1cbc41b70aed0aa41f40964d0aa7cf783ddc7580a639ffb718e,OOS_TO_IN_SCOPE,ELIGIBLE,1
50,CLINC150,clinc150:test:01339,test,mpg,clinc150:test:00306,test,fun_fact,e809e932d94af6a2317d1aeb8d6cd6dd7b41d3de6aee75894cd36b9ca788dde9,178b5d304ba7e7fc2ed61c6bf5af34db1e3e697992af705b4e254a3d03970120,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
51,CLINC150,clinc150:test:00441,test,time,clinc150:test:02066,test,cook_time,55ffc12d2b89a51944464afaa3f1ee17be65c7cdd8d5f67f2a2b5ea29fdbdaef,4713435235b22a71882ad285feb2d642e324ae6870a3ae4eafdee1fb95c67bdc,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
52,CLINC150,clinc150:test:01676,test,nutrition_info,clinc150:test:03107,test,report_fraud,30ae947f52fc8e237bd5d9747e3598fbd75bc0904374f74adb1ad58ac028b1b5,6e8a2f0c6ce8c23f151ecc21fee699325c2996d545c21e875363cd404481413d,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,1
53,CLINC150,clinc150:test:02463,test,do_you_have_pets,clinc150:test:01951,test,thank_you,e8de558b7156c1ad0679427d8e60399aff60d2f82e5f43f42a5c14d7a854724e,f4163dd86d7787adbdcf3056f17ffbca1966fdc4218b507da0857aaf74e0ec3f,IN_SCOPE_TO_IN_SCOPE,ELIGIBLE,2
